mode,file,orig,kept,delta,kept_ratio
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,4.0,4.0,0.0,1.0
MCE,cc2_remove_meander,4.0,4.0,0.0,1.0
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
MSE,cc2_remove_meander,0.0,0.0,0.0,
MCE,cc2_remove_meander,0.0,0.0,0.0,
